lon,lat,Tem
-48.5,-0.7,27.1
-44.5,-11,23.9
-35.7,-7.8,24.9
-46.4,-12.4,23.5
-70.8,-8.2,25.1
-40.42,-6,26.4
-45.56,-23.03,23.9
-64.7,-3.8,26.5
-41.5,-17.9,24.2
-42.8,-5.1,27.6
-49.7,-29.4,22.4
-46.9,-1.1,25.9
-38.1,-7.8,23.2
-49.7,-3.8,26.5
-45.4,-1.7,27.1
-45.1,-23.5,24.6
-48,-19.7,22.6
-46.6,-16.4,24.2
-57.1,-29.8,27.1
-49.3,-28.52,23.8
-43.72,-8.42,25.4
-42.9,-20.8,21.8
-60.15,-12.73,22.8
-40.3,-20.3,25.7
-40.8,-14.9,21.2
-50,-20.4,24.7
-45.7,-3.3,26.6
